query,disease,context
What is the role of immunoglobulin E (IgE) measurement in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What is the role of blood eosinophil count in the diagnosis of allergic rhinitis ?,allergic rhintis,0
What is the role of radiography in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What is the role of CT scanning in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What is the role of MRI in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What is the role of nasal cytology in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What is the role of upper airway endoscopy (rhinolaryngoscopy) in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What is the role of nasal provocation (allergen challenge) testing in the diagnosis of allergic rhinitis ?,allergic rhintis,1
What are the treatment options for allergic rhinitis ?,allergic rhintis,1
How and when is environmental control and allergen avoidance used in the treatment of allergic rhinitis ?,allergic rhintis,0
What are the environmental control measures for outdoor allergens that cause allergic rhinitis ?,allergic rhintis,0
What are the environmental control measures for indoor allergens that cause allergic rhinitis ?,allergic rhintis,0
What are the environmental control measures for indoor mold that cause allergic rhinitis ?,allergic rhintis,0
What are the indoor environmental control measures for animals that cause allergic rhinitis ?,allergic rhintis,0
What is the best environmental control measure for occupational allergic rhinitis ?,allergic rhintis,0
What are possible nonspecific triggers for allergic rhinitis ?,allergic rhintis,0
What is the role of pharmacotherapies in the treatment of allergic rhinitis ?,allergic rhintis,1
What is the role of immunotherapy in the treatment of allergic rhinitis ?,allergic rhintis,1
What is the role of sublingual immunotherapy (SLIT) in the treatment of allergic rhinitis ?,allergic rhintis,1
Which sublingual (SL) tablet has been approved by the FDA for the treatment of allergic rhinitis  caused by grass pollens?,allergic rhintis,1
How should the Oralair SL tablet be administered for the treatment of allergic rhinitis ?,allergic rhintis,1
What is the role of Grastek in the treatment of allergic rhinitis ?,allergic rhintis,1
What is the role of Ragwitek in the treatment of allergic rhinitis ?,allergic rhintis,1
What is the role of Odactra in the treatment of allergic rhinitis ?,allergic rhintis,1
How is Odactra administered for the treatment of allergic rhinitis ?,allergic rhintis,1
What is the efficacy of Odactra in the treatment of allergic rhinitis ?,allergic rhintis,1
What are the limitations of sublingual immunotherapy (SLIT) in the treatment of allergic rhinitis ?,allergic rhintis,0
When is surgical care for allergic rhinitis  indicated?,allergic rhintis,0
What is the role of turbinoplasty in the treatment of allergic rhinitis ?,allergic rhintis,1
When should specialist consultation be considered for the treatment of allergic rhinitis ?,allergic rhintis,1
What are the Joint Task Force on Practice Parameters (JTFPP) treatment guidelines for seasonal allergic rhinitis (SAR) in adolescents and adults?,allergic rhintis,1
What key recommendations are included in the AAOH-NSF treatment guidelines for allergic rhinitis ?,allergic rhintis,1
Which medications are used in the treatment of allergic rhinitis ?,allergic rhintis,1
Which medications in the drug class Second-generation antihistamines are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class Leukotriene receptor antagonists are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class First-generation antihistamines are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class Decongestants are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class Nasal corticosteroids are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class Nasal corticosteroids and antihistamine combinations are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
"Which medications in the drug class Antihistamines, Intranasal are used in the treatment of Allergic Rhinitis?",allergic rhintis,1
Which medications in the drug class Mast Cell Stabilizers are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class Intranasal anticholinergic agents are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
Which medications in the drug class Allergen Immunotherapy are used in the treatment of Allergic Rhinitis?,allergic rhintis,1
What are food allergies?,food alergies,
What are the signs and symptoms of food allergy-induced anaphylaxis?,food alergies,
What should be included in the medical history for food allergies?,food alergies,
What is the role of the physical exam findings in the evaluation of food allergies?,food alergies,
Which lab tests may be helpful in the diagnosis of food allergies?,food alergies,
How is skin testing performed in the diagnosis of food allergies?,food alergies,
Which diet-related measures are used in the workup of food allergies?,food alergies,
How are food allergies treated?,food alergies,
What are the medications used in the emergency treatment of food allergies?,food alergies,
What are food allergies?,food alergies,
What is the pathophysiology of non–IgE-mediated GI food allergies?,food alergies,
What are the clinical manifestations of food allergies?,food alergies,
What is the role of food allergies in the pathogenesis of atopic dermatitis?,food alergies,
What is the role of food allergies in the pathogenesis of celiac disease?,food alergies,
What is the role of food allergies in the pathogenesis of dermatitis herpetiformis?,food alergies,
What is the pathophysiology of IgE-mediated GI food allergies?,food alergies,
What is the pathophysiology of pollen-food allergy syndrome (oral allergy syndrome)?,food alergies,
What is the pathophysiology of mixed IgE/non-IgE GI food allergies?,food alergies,
What are the upper and lower respiratory tract reactions to food allergies?,food alergies,
What is the role of food allergies in the pathophysiology of asthma?,food alergies,
What is the role of food allergies in the pathophysiology of food-induced pulmonary hemosiderosis (Heiner syndrome)?,food alergies,
What is the role of IgE antibody-mediated responses in the pathogenesis of food allergies?,food alergies,
What causes food allergies?,food alergies,
What is the role of cell-mediated responses in the pathogenesis of food allergies?,food alergies,
What are the physiologic characteristics of food allergens?,food alergies,
What are risk factors for anaphylaxis from food allergies?,food alergies,
What is the prevalence of food allergies?,food alergies,
Which patient groups have the highest prevalence of food allergies?,food alergies,
Which food allergies are most prevalent in children?,food alergies,
What is the prognosis of food allergies?,food alergies,
What is the risk for mortality from food allergies?,food alergies,
What is included in patient education about food allergies?,food alergies,
What are the signs and symptoms of food-induced anaphylaxis?,food alergies,
What is included in the medical history for food allergies?,food alergies,
What is the role of the physical exam findings in the evaluation of food allergies?,food alergies,
Which conditions should be included in the differential diagnoses of food allergies?,food alergies,
What are the differential diagnoses for Food Allergies?,food alergies,
How are food allergies diagnosed?,food alergies,
What is the role of serum studies in the workup of food allergies?,food alergies,
What is the role of a diet diary in the workup of food allergies?,food alergies,
What is the role of an elimination diet in the workup of food allergies?,food alergies,
What is the role of skin testing in the workup of food allergies?,food alergies,
What is the role of an oral food challenge in the diagnosis of food allergies?,food alergies,
How is an open food challenge performed in the workup of food allergies?,food alergies,
How is a single-blind food challenge performed in the workup of food allergies?,food alergies,
"How is a double-blind, placebo-controlled food challenge performed in the workup of food allergies?",food alergies,
What is the role of intradermal skin testing in the workup of food allergies?,food alergies,
What is the role of patch tests in the workup of food allergies?,food alergies,
What is the role of peripheral serum measurements of eosinophils or total IgE concentrations in the diagnosis of food allergies?,food alergies,
What is the role of basophil histamine-release assays in the diagnosis of food allergies?,food alergies,
Which tests are not evidenced-based for the diagnosis of food allergies?,food alergies,
How are food allergies treated?,food alergies,
Which dietary modifications are used in the treatment of food allergies?,food alergies,
What is the role of an emergency plan in the treatment of food allergies?,food alergies,
What is the drug of choice for emergent treatment of food allergies?,food alergies,
Which specialist consultations are beneficial to patients with food allergies?,food alergies,
How are food allergies prevented?,food alergies,
Which therapeutics are under investigation for the treatment of food allergies?,food alergies,
Which medications are used in the treatment of food allergies?,food alergies,
Which medications in the drug class Alpha/Beta Adrenergic Agonists are used in the treatment of Food Allergies?,food alergies,
Which medications in the drug class Antihistamines are used in the treatment of Food Allergies?,food alergies,
What is allergic conjunctivitis?,conjunctivitis,
How is allergic conjunctivitis diagnosed?,conjunctivitis,
Where can more information be found on allergic conjunctivitis?,conjunctivitis,
What are type I hypersensitivity reactions in allergic conjunctivitis?,conjunctivitis,
What are type III hypersensitivity reactions in allergic conjunctivitis?,conjunctivitis,
What are type IV hypersensitivity reactions in allergic conjunctivitis?,conjunctivitis,
What are the subcategories of allergic conjunctivitis?,conjunctivitis,
How are complications of allergic conjunctivitis prevented?,conjunctivitis,
What is the prognosis of allergic conjunctivitis?,conjunctivitis,
What is included in the patient education information for allergic conjunctivitis?,conjunctivitis,
Which antigens may trigger allergic conjunctivitis?,conjunctivitis,
What are the symptoms of seasonal allergic conjunctivitis (SAC)?,conjunctivitis,
What are the symptoms of perennial allergic conjunctivitis (PAC)?,conjunctivitis,
What is the pathogenesis of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
What is the pathogenesis of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
What is the pathogenesis of giant papillary conjunctivitis (GPC)?,conjunctivitis,
What is the prevalence of allergic conjunctivitis?,conjunctivitis,
How does the prevalence of allergic conjunctivitis vary by sex?,conjunctivitis,
What is the prognosis of allergic conjunctivitis?,conjunctivitis,
How is allergic conjunctivitis diagnosed?,conjunctivitis,
What are the signs and symptoms of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
What are the signs and symptoms of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
What are the signs and symptoms of giant papillary conjunctivitis (GPC)?,conjunctivitis,
What are the classic physical findings of allergic conjunctivitis?,conjunctivitis,
What are the physical findings characteristic of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
What are the physical findings characteristic of the limbal form of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
Which physical findings of the cornea are characteristic of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
What is vernal pseudogerontoxon in allergic conjunctivitis?,conjunctivitis,
Which physical findings are characteristic of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
Which physical findings are characteristic of giant papillary conjunctivitis (GPC)?,conjunctivitis,
How is allergic conjunctivitis differentiated from viral and bacterial conjunctivitis?,conjunctivitis,
How are the subtypes of allergic conjunctivitis differentiated?,conjunctivitis,
What are the differential diagnoses for Allergic Conjunctivitis?,conjunctivitis,
What is the role of conjunctival scrapings in the diagnosis of allergic conjunctivitis?,conjunctivitis,
What does the absence of eosinophils in superficial conjunctival scrapings suggest in the workup of allergic conjunctivitis?,conjunctivitis,
What is the importance of tear level measurement in the diagnosis of allergic conjunctivitis?,conjunctivitis,
How are conjunctival scrapings used to differentiate subtypes of allergic conjunctivitis?,conjunctivitis,
What is the role of advanced point-of-service testing in the diagnosis of allergic conjunctivitis?,conjunctivitis,
Which histologic findings are characteristic of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
Which histologic findings are characteristic of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
Which histologic findings are characteristic of giant papillary conjunctivitis (GPC)?,conjunctivitis,
What is the primary behavioral modification used in the treatment of all types of allergic conjunctivitis?,conjunctivitis,
Which medications are used in the treatment of allergic conjunctivitis?,conjunctivitis,
Where can more information be found regarding the treatment approaches for allergic conjunctivitis?,conjunctivitis,
What is the role of medications in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of artificial tears in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of antihistamines in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of vasoconstrictors in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of mast cell stabilizers used in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of NSAIDs in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of corticosteroids in the treatment of allergic conjunctivitis?,conjunctivitis,
What are the possible adverse effects of corticosteroids in the treatment of allergic conjunctivitis?,conjunctivitis,
What are the different forms of corticosteroids used in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of loteprednol etabonate in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of immunotherapy in the treatment of allergic conjunctivitis?,conjunctivitis,
Which medications are used in the treatment of vernal keratoconjunctivitis (VKC)?,conjunctivitis,
What are the treatment options for vernal keratoconjunctivitis (VKC)?,conjunctivitis,
When is a pulsed-therapy steroid regimen indicated in the treatment of allergic conjunctivitis?,conjunctivitis,
What is the role of topical cyclosporine in the treatment of allergic conjunctivitis?,conjunctivitis,
Which steroid-sparing regimens are used in the treatment of allergic conjunctivitis?,conjunctivitis,
When is surgery indicated in the treatment of allergic conjunctivitis?,conjunctivitis,
What are the treatment options for atopic keratoconjunctivitis (AKC)?,conjunctivitis,
Which medications are used in the treatment of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
What is the role of systemic cyclosporine in the treatment of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
How is herpes simplex virus (HSV) infection managed in patients with atopic keratoconjunctivitis (AKC)?,conjunctivitis,
What is the role of penetrating keratoplasty in the treatment of atopic keratoconjunctivitis (AKC)?,conjunctivitis,
What are treatment goals for giant papillary conjunctivitis (GPC)?,conjunctivitis,
What is the role of contact lens care in the management of giant papillary conjunctivitis (GPC)?,conjunctivitis,
What is the role of rigid gas-permeable lenses in the treatment of giant papillary conjunctivitis (GPC)?,conjunctivitis,
Which medications are used in the treatment of giant papillary conjunctivitis (GPC)?,conjunctivitis,
How is allergic conjunctivitis prevented?,conjunctivitis,
What is the first-line of treatment for allergic conjunctivitis?,conjunctivitis,
Which environmental modifications are used in the prevention of allergic conjunctivitis?,conjunctivitis,
Which precautions should be taken against eye rubbing for the prevention of allergic conjunctivitis?,conjunctivitis,
Which medications are used in the treatment of allergic conjunctivitis?,conjunctivitis,
Which medications in the drug class Ophthalmic Lubricants are used in the treatment of Allergic Conjunctivitis?,conjunctivitis,
"Which medications in the drug class Decongestants, Ophthalmic are used in the treatment of Allergic Conjunctivitis?",conjunctivitis,
Which medications in the drug class Monoclonal Antibodies are used in the treatment of Allergic Conjunctivitis?,conjunctivitis,
Which medications in the drug class Nonsteroidal Anti-inflammatory Drugs (NSAIDs) are used in the treatment of Allergic Conjunctivitis?,conjunctivitis,
Which medications in the drug class Corticosteroids are used in the treatment of Allergic Conjunctivitis?,conjunctivitis,
Which medications in the drug class Mast Cell Stabilizers are used in the treatment of Allergic Conjunctivitis?,conjunctivitis,
"Which medications in the drug class Antihistamines, Ophthalmic are used in the treatment of Allergic Conjunctivitis?",conjunctivitis,
What is anaphylaxis?,anaphylaxis,
How does the presentation of anaphylaxis vary between children and adults?,anaphylaxis,
What are the signs and symptoms of anaphylaxis?,anaphylaxis,
What is the first priority in the physical exam for anaphylaxis?,anaphylaxis,
Which physical findings are characteristic of anaphylaxis?,anaphylaxis,
What is the role of lab studies in the diagnosis of anaphylaxis?,anaphylaxis,
What is the role of skin testing and in vitro immunoglobulin E (IgE) testing in the diagnosis of anaphylaxis?,anaphylaxis,
How is anaphylaxis managed?,anaphylaxis,
What is included in the supportive care for suspected anaphylaxis?,anaphylaxis,
Which medications are used in the treatment of anaphylaxis?,anaphylaxis,
When is surgery indicated for the treatment of anaphylaxis?,anaphylaxis,
What is the term anaphylaxis derived from?,anaphylaxis,
What is anaphylaxis?,anaphylaxis,
What are the most common organ systems involved in anaphylaxis?,anaphylaxis,
How is anaphylaxis diagnosed?,anaphylaxis,
Which lab tests are performed in the evaluation of anaphylaxis?,anaphylaxis,
Why is immediate recognition of anaphylaxis important?,anaphylaxis,
How is anaphylaxis categorized?,anaphylaxis,
What is the pathophysiology of anaphylaxis?,anaphylaxis,
What are the cardiovascular effects of anaphylaxis?,anaphylaxis,
What are the classic symptoms of anaphylaxis?,anaphylaxis,
Which mediators activate pathways of inflammation in the pathogenesis of anaphylaxis?,anaphylaxis,
What is the role of cytokines in the pathogenesis of anaphylaxis?,anaphylaxis,
What are lipid-derived mediators involved in the pathogenesis of anaphylaxis?,anaphylaxis,
What is the role of histamine in the pathogenesis of anaphylaxis?,anaphylaxis,
What are the cardiac complications of anaphylaxis?,anaphylaxis,
What is the role of calcitonin gene-related peptide (CGRP) in the pathogenesis of anaphylaxis?,anaphylaxis,
What is the physiologic response to hypovolemia in anaphylaxis?,anaphylaxis,
What causes bradycardia in individuals with anaphylaxis?,anaphylaxis,
What is the classic form of anaphylaxis?,anaphylaxis,
Which types of anaphylaxis do not involve immunoglobulin E (IgE)?,anaphylaxis,
Which mediators are released in anaphylaxis?,anaphylaxis,
Which agents are believed to cause direct nonimmunologic release of anaphylaxis mediators from mast cells?,anaphylaxis,
What are the most common inciting agents in anaphylaxis?,anaphylaxis,
What are the common causes of immunoglobulin E (IgE)-mediated anaphylaxis?,anaphylaxis,
What is the prevalence of anaphylaxis caused by hypersensitivity to foods?,anaphylaxis,
Which foods are most likely cause anaphylaxis?,anaphylaxis,
How frequently are foods the cause of anaphylaxis?,anaphylaxis,
What are the guidelines for administration of the influenza vaccine in patients with egg allergies?,anaphylaxis,
Which disorder may mimic anaphylaxis?,anaphylaxis,
Which medications are the most common cause of drug-induced anaphylaxis?,anaphylaxis,
How does penicillin cause anaphylaxis?,anaphylaxis,
What is the prevalence of cephalosporin -caused anaphylaxis in individuals allergic to penicillin?,anaphylaxis,
How does a penicillin allergy increase the risk of anaphylaxis from other drugs?,anaphylaxis,
What are the guidelines for the use of cephalosporins in patients with a history of immunoglobulin E (IgE)-mediated reactions to penicillin?,anaphylaxis,
Which drugs can cause immunoglobulin E (IgE)-mediated anaphylaxis?,anaphylaxis,
What is the mortality rate associated with hymenoptera sting anaphylaxis in the US?,anaphylaxis,
What precautions are needed following the treatment of hymenoptera sting anaphylaxis?,anaphylaxis,
What is the mortality rate of allergen-specific subcutaneous immunotherapy (SCIT) caused anaphylaxis?,anaphylaxis,
What are the risk factors for anaphylaxis due to immunotherapy?,anaphylaxis,
How common are near-fatal reactions (NFRs) to immunotherapy caused anaphylaxis?,anaphylaxis,
How are reactions to aspirin and NSAIDs classified?,anaphylaxis,
What is the initial reactions in aspirin/NSAID anaphylaxis?,anaphylaxis,
What is the mechanism for anaphylaxis after taking aspirin and NSAIDs?,anaphylaxis,
How frequently is anaphylaxis caused by NSAIDs?,anaphylaxis,
How frequently do ACE inhibitors cause anaphylaxis?,anaphylaxis,
What immunologic immunoglobulin E (IgE)-independent reactions cause anaphylaxis?,anaphylaxis,
What is exercise-induced anaphylaxis?,anaphylaxis,
What is the etiological relationship between anaphylaxis and systemic mastocytosis?,anaphylaxis,
"Which agents cause direct, nonimmunologic release of anaphylaxis mediators?",anaphylaxis,
How is an anaphylactoid reaction to radiocontrast agents managed?,anaphylaxis,
Which patients are at an increased risk of an anaphylactoid reaction to radiocontrast agents?,anaphylaxis,
What is the role of shellfish and iodine in the etiology of anaphylactoid reaction to radiocontrast agents?,anaphylaxis,
What is the likelihood of anaphylactoid reaction to radiocontrast agents during GI procedures?,anaphylaxis,
What is idiopathic anaphylaxis?,anaphylaxis,
How does the prevalence of idiopathic anaphylaxis vary by sex?,anaphylaxis,
What is catamenial anaphylaxis?,anaphylaxis,
What is biphasic (recurrent) anaphylaxis?,anaphylaxis,
What is persistent anaphylaxis?,anaphylaxis,
How should patients with biphasic or persistent anaphylaxis be monitored following treatment?,anaphylaxis,
What are the risk factors for anaphylaxis?,anaphylaxis,
How does the interval between exposures affect the risk of anaphylaxis?,anaphylaxis,
Which medications increase the risk of multiple organ system involvement in anaphylaxis?,anaphylaxis,
What is the incidence of anaphylaxis?,anaphylaxis,
What is the prevalence of anaphylaxis?,anaphylaxis,
What is the relative risk for anaphylaxis in the US?,anaphylaxis,
What is the incidence of anaphylaxis in the US?,anaphylaxis,
How do the risk factors for anaphylaxis vary between locations?,anaphylaxis,
What is the global incidence of anaphylaxis?,anaphylaxis,
What are the age predilections of anaphylaxis?,anaphylaxis,
How does the incidence of anaphylaxis vary by sex?,anaphylaxis,
What are the mortality rates for anaphylaxis?,anaphylaxis,
What is the prognosis of anaphylaxis caused by reactions to foods?,anaphylaxis,
What is the prognosis of anaphylaxis caused by conventional radiocontrast media (RCM)?,anaphylaxis,
What are common causes of anaphylaxis in the United Kingdom?,anaphylaxis,
What causes death in anaphylaxis?,anaphylaxis,
How quickly can death occur from anaphylaxis?,anaphylaxis,
What are risk factors for fatal anaphylaxis?,anaphylaxis,
How does posture affect anaphylaxis outcomes?,anaphylaxis,
How likely are multiple episodes of anaphylaxis?,anaphylaxis,
What are the available doses for epinephrine autoinjector for the emergent treatment of anaphylaxis?,anaphylaxis,
What is the role of avoidance education in the prevention of food-related anaphylaxis?,anaphylaxis,
What should be given to patients with sensitivity to multiple antibiotics to prevent anaphylaxis?,anaphylaxis,
What should be included in anaphylaxis avoidance education for patients with hypersensitive to insect stings?,anaphylaxis,
What is included in anaphylaxis education for patients sensitive to Hymenoptera?,anaphylaxis,
What are the treatment guidelines for insect sting sensitivity?,anaphylaxis,
What is included in the patient information for epinephrine autoinjector in the treatment of anaphylaxis?,anaphylaxis,
What emergency medical information should patients receive about anaphylaxis?,anaphylaxis,
What is the role of placebo syringes in the patient education of anaphylaxis?,anaphylaxis,
What is anaphylaxis?,anaphylaxis,
What are the signs and symptoms of anaphylaxis?,anaphylaxis,
What are the upper respiratory tract symptoms of anaphylaxis?,anaphylaxis,
What is the progression of symptoms in anaphylaxis?,anaphylaxis,
What is the onset of symptoms of anaphylaxis following exposure to trigger?,anaphylaxis,
How is the causative agent identified in anaphylaxis?,anaphylaxis,
What is the first priority in the physical exam of anaphylaxis?,anaphylaxis,
What are the general appearance and vital signs characteristic of anaphylaxis?,anaphylaxis,
What are the respiratory findings characteristic of anaphylaxis?,anaphylaxis,
What are the cardiovascular findings characteristic of anaphylaxis?,anaphylaxis,
What are the cognitive findings characteristic of anaphylaxis?,anaphylaxis,
What is the classic cutaneous presentation of anaphylaxis?,anaphylaxis,
What are the cutaneous findings characteristic of anaphylaxis?,anaphylaxis,
What are the GI findings characteristic of anaphylaxis?,anaphylaxis,
What are the possible complications of anaphylaxis?,anaphylaxis,
What are the clinical criteria used to diagnosis anaphylaxis?,anaphylaxis,
What is the risk of a delayed diagnosis of anaphylaxis?,anaphylaxis,
Which conditions should be included in the differential diagnoses of anaphylaxis?,anaphylaxis,
What are the differential diagnoses for Anaphylaxis?,anaphylaxis,
How is anaphylaxis diagnosed?,anaphylaxis,
When are lab studies performed for the diagnosis of anaphylaxis?,anaphylaxis,
What is the role of histamine measurement in the diagnosis of anaphylaxis?,anaphylaxis,
What is the role of serum mature tryptase measurement in the diagnosis of anaphylaxis?,anaphylaxis,
What is the significance of baseline levels of total tryptase in the evaluation of anaphylaxis?,anaphylaxis,
What is the correlation between histamine and tryptase levels in anaphylaxis?,anaphylaxis,
What are useful biomarkers for the detection of anaphylaxis?,anaphylaxis,
When is the measurement of 5-Hydroxyindoleacetic acid levels indicated in the evaluation of anaphylaxis?,anaphylaxis,
When is skin testing for food allergens indicated in the evaluation of anaphylaxis?,anaphylaxis,
What is the role of penicillin skin testing in the evaluation of anaphylaxis?,anaphylaxis,
When skin testing for Hymenoptera venom sensitivity indicated in the evaluation of anaphylaxis?,anaphylaxis,
What are the challenges in testing for suspected insect bite or sting causing anaphylaxis?,anaphylaxis,
What is the role of skin testing and/or in vitro immunoglobulin E (IgE) tests in the evaluation of anaphylaxis?,anaphylaxis,
What is the negative predictive value of food allergen skin testing in the evaluation of anaphylaxis?,anaphylaxis,
What is the role of a controlled food challenge of in the evaluation of anaphylaxis?,anaphylaxis,
"In the NIAID treatment guidelines for food allergies, which tests are not recommended for the diagnosis of anaphylaxis?",anaphylaxis,
What is the role of intradermal skin testing and IgG RAST tests in the diagnosis of anaphylaxis?,anaphylaxis,
What actions should be taken once the results of a penicillin skin are known?,anaphylaxis,
Which medications should be considered for skin testing in the evaluation of anaphylaxis?,anaphylaxis,
